,cloud,humidity,lat,name,temp,windspeed
0,75,76,45.92,Borovnica,12.0,1.0
1,0,100,6.8,Georgetown,23.0,1.0
2,75,100,46.66,Marsens,2.79,8.2
3,0,81,34.73,Sotira,12.68,3.6
4,75,94,-20.3,Vacoas,25.0,1.5
5,90,92,41.26,Tashkent,-6.0,3.1
6,20,70,13.27,Inarajan Village,30.49,5.7
7,0,59,25.29,Ar Rayyan,16.0,4.1
8,0,97,18.09,Nouakchott,21.64,7.81
9,40,100,35.51,Chania,9.0,2.1
10,90,93,58.25,Kuressaare,3.0,9.3
11,75,94,18.28,Moneague,25.0,3.6
12,92,98,54.21,Shklow,1.29,5.21
13,40,77,25.36,Sharjah,20.01,4.6
14,40,100,4.05,Douala,24.0,1.06
15,75,100,46.39,Saint-Claude,3.0,1.5
16,75,78,17.97,Vientiane,24.59,1.0
17,68,94,-21.43,Fianarantsoa,13.67,0.96
18,0,56,5.95,Bamenda,15.27,1.31
19,80,100,-12.78,Huambo,16.12,1.21
20,68,81,-35.98,Waipu,22.04,2.11
21,75,94,51.55,Buren,2.86,7.2
22,76,100,11.59,Djibouti,19.39,2.16
23,0,75,39.03,Pyongyang,-13.34,3.56
24,0,100,12.78,Aden,25.24,6.21
25,8,78,19.4,Villa Madero,9.67,0.46
26,44,65,-21.03,Habana,28.0,8.2
27,75,70,47.23,Ruggell,5.91,5.7
28,40,88,3.75,Malabo,23.0,2.6
29,20,98,-28.55,Oranjemund,16.59,9.56
30,40,83,-21.21,Avarua,29.0,2.1
31,24,85,5.02,Brownsweg,25.99,3.06
32,0,100,5.44,Naifaru,27.79,2.76
33,0,87,22.32,Chhota Udepur,18.92,1.96
34,24,68,-0.68,Kisii,16.04,1.36
35,75,64,47.33,Holderbank,3.51,5.7
36,92,100,-25.07,Adamstown,20.29,1.86
37,75,78,10.2,Debe,24.0,2.06
38,68,74,-7.78,Yogyakarta,28.37,1.91
39,68,91,-19.85,Antsirabe,13.77,1.21
40,1,83,46.91,Limestone,-20.27,1.36
41,0,69,41.41,Novo Selo,-5.59,0.86
42,76,99,-12.96,Ndola,17.39,1.36
43,92,51,46.31,Poljcane,16.59,9.3
44,40,93,37.72,Martos,3.0,0.5
45,75,70,-17.55,Faaa,29.0,3.1
46,75,55,-17.39,Cochabamba,17.0,3.6
47,40,88,19.58,Esperanza,21.5,2.1
48,92,86,51.35,Hagen,1.34,5.1
49,75,69,40.66,Freeport,2.55,2.66
50,80,98,55.51,Holsted,1.0,5.7
51,0,57,8.57,Moundou,18.64,3.31
52,92,100,-49.35,Port-aux-Francais,5.84,4.31
53,75,78,10.58,Sangre Grande,24.0,3.16
54,32,49,14.18,Kaolack,19.37,2.1
55,88,100,-3.67,Namatanai,26.02,3.36
56,48,94,-1.05,Portoviejo,21.02,1.51
57,75,68,25.06,Nassau,20.0,2.1
58,0,56,27.47,Thimphu,-2.21,0.61
59,20,60,14.92,Praia,23.0,6.7
60,80,92,37.49,Khorugh,-11.61,0.66
61,0,82,-33.46,Malmesbury,16.0,10.8
62,88,39,11.78,Tenkodogo,18.22,2.66
63,0,46,-24.48,Banana,29.89,5.01
64,20,66,-8.52,Funafuti,32.0,3.1
65,20,81,37.83,Kouvaras,7.0,2.6
66,0,77,9.95,Desamparados,19.0,3.6
67,32,64,14.69,Dakar,23.0,5.1
68,88,52,-22.28,Noumea,32.0,6.2
69,20,80,49.79,Novy Knin,5.0,9.3
70,20,90,-14.53,Palpa,6.42,0.86
71,12,83,10.38,Mamou,17.37,1.16
72,0,87,43.73,Monaco,8.78,3.6
73,75,66,41.11,Elbasan,12.0,3.1
74,0,76,30.39,Oulad Teima,10.0,1.5
75,56,42,10.36,Sansanne-Mango,19.84,2.86
76,36,94,4.36,Bangui,22.0,1.26
77,20,54,-32.95,Charlestown,27.0,8.2
78,0,100,41.13,Tortola,1.86,1.0
79,75,79,-13.83,Apia,29.0,2.6
80,0,90,6.37,Cotonou,23.89,2.01
81,40,93,50.7,Thalheim,3.0,4.1
82,0,51,45.79,Rakitje,17.01,7.7
83,20,63,35.89,Senglea,17.0,6.7
84,20,100,26.54,Marsh Harbour,20.54,3.91
85,75,64,-20.94,Le Port,25.58,1.5
86,75,70,47.41,Balgach,6.42,5.7
87,8,60,-29.32,Maseru,4.12,0.76
88,12,100,11.54,Riohacha,25.47,4.36
89,20,95,28.65,Khanpur,7.99,1.41
90,48,100,14.53,Retalhuleu,21.67,0.51
91,88,95,27.48,Jalesar,16.29,2.16
92,75,88,20.02,Santiago de Cuba,22.58,4.6
93,0,71,47.27,Rackeresztur,10.0,7.2
94,64,86,50.07,Karagandy,-10.89,4.01
95,20,92,53.28,Saggart,-0.48,3.1
96,8,87,-5.09,Paita,19.37,2.76
97,0,94,16.23,Sainte-Anne,23.0,1.5
98,0,56,-22.76,Porecatu,22.0,1.21
99,88,100,10.35,La Castellana,26.72,0.86
100,48,99,18.54,Port-au-Prince,24.22,1.81
101,24,82,36.71,Tizi Ouzou,8.87,0.91
102,40,64,25.26,Dubai,19.92,3.1
103,20,92,54.17,Onchan,-1.0,2.6
104,20,94,-8.46,Agrestina,20.87,2.51
105,68,100,-12.17,Moutsamoudou,28.37,1.91
106,44,97,-25.97,Piggs Peak,14.49,0.76
107,20,94,55.08,Jonava,2.0,3.6
108,20,68,13.45,Banjul,19.0,1.0
109,0,88,16.02,Saint-Louis,18.0,2.1
110,20,25,35.22,Minato,9.48,2.1
111,92,51,46.4,Kidricevo,16.66,9.3
112,40,41,33.56,Sidon,14.0,3.1
113,0,77,9.92,Escazu,19.0,3.6
114,0,70,31.5,Gaza,9.0,0.5
115,0,81,36.14,Gibraltar,10.68,7.2
116,75,70,-17.52,Arue,29.0,3.1
117,40,69,42.21,Prizren,4.0,3.6
118,0,100,6.0,Linden,23.0,1.0
119,0,56,-37.4,Te Kauwhata,23.0,7.2
120,90,78,-10.42,Flying Fish Cove,27.0,3.6
121,75,70,47.16,Schaan,6.4,5.7
122,0,52,4.85,Juba,21.02,2.71
123,20,94,14.07,Gros Islet,22.0,4.11
124,20,94,41.36,Quba,-3.21,0.66
125,76,51,46.59,Dravograd,11.47,9.3
126,0,94,5.31,Abidjan,25.0,2.86
127,75,70,-18.14,Suva,29.0,3.6
128,0,61,-28.15,Cunningham,25.89,6.21
129,40,79,-9.43,Honiara,30.0,2.1
130,20,52,44.73,Doboj,17.49,8.2
131,75,83,18.28,Negril,26.0,8.7
132,80,92,-5.07,Tanga,24.04,2.56
133,0,63,67.2,Hella,-3.0,3.1
134,75,67,43.95,Acquaviva,17.56,7.2
135,76,69,42.53,Encamp,-7.51,0.41
136,0,67,38.28,Guzelyurt,0.0,3.6
137,64,62,34.67,Djelfa,8.22,4.21
138,88,100,-54.28,Grytviken,1.74,5.76
139,0,78,40.48,Darganata,-9.64,2.76
140,92,77,-17.37,Chinhoyi,18.37,2.56
141,20,100,53.39,Artane,-0.52,5.7
142,0,24,-26.58,Keetmanshoop,14.72,3.31
143,20,63,35.88,Qormi,17.0,6.7
144,76,98,55.49,Polatsk,0.59,6.46
145,20,47,36.82,Tunis,11.72,5.7
146,90,92,42.1,Jamestown,-2.0,3.1
147,40,92,42.3,Shymkent,-11.0,1.0
148,20,92,54.1,Ballasalla,-1.0,2.6
149,12,83,8.48,Freetown,24.0,1.5
150,90,94,57.08,Adazi,2.0,5.1
151,92,96,55.88,Daugavpils,2.17,7.41
152,92,100,-10.98,Likasi,17.74,0.96
153,0,88,14.54,Les Trois-Ilets,22.0,1.5
154,0,72,-34.97,Punta del Este,15.0,3.1
155,1,76,30.55,Central,11.0,3.1
156,12,94,-17.92,Victoria Falls,16.84,1.21
157,32,70,-7.61,Nganjuk,28.64,3.86
158,68,83,-7.16,Cajamarca,9.27,0.16
159,88,100,-2.02,Lorengau,26.92,4.81
160,32,100,10.31,El Limon,17.04,1.46
161,8,89,-20.15,Bulawayo,17.24,3.41
162,75,74,4.94,Bandar Seri Begawan,28.88,1.5
163,88,52,-22.15,Dumbea,32.0,6.2
164,0,100,4.88,Takoradi,26.02,2.96
165,0,99,-8.56,Dili,29.37,1.26
166,76,69,42.56,Ordino,-7.51,0.41
167,75,88,13.25,Saint Peter,24.0,2.1
168,0,94,15.23,Berekua,26.39,4.66
169,0,62,18.67,Bodhan,20.12,1.96
170,44,75,-19.31,Prata,22.04,1.66
171,75,96,48.6,Vaucouleurs,2.26,7.7
172,0,69,39.21,Kapan,-14.46,0.71
173,75,88,-12.83,Chiconi,25.0,2.6
174,75,78,10.13,Siparia,24.0,2.06
175,20,54,10.39,Kankan,18.02,2.56
176,0,100,6.8,Georgetown,23.0,1.0
177,0,80,44.08,Cobadin,4.0,5.7
178,90,78,19.28,Bodden Town,23.0,5.7
179,92,100,18.42,Road Town,25.77,4.11
180,0,12,-22.47,Calama,12.0,4.6
181,92,92,60.35,Muurla,-1.0,5.1
182,0,60,21.52,Jeddah,21.0,2.36
183,0,93,40.38,Baku,6.0,2.1
184,0,67,46.75,Simontornya,12.37,8.71
185,40,42,43.27,Palazzo,19.0,4.6
186,0,32,13.51,Niamey,19.0,2.1
187,36,100,-3.14,Aitape,27.97,1.76
188,20,22,34.63,Alexander,13.72,4.1
189,92,72,46.25,Kobarid,13.49,8.2
190,0,64,-32.9,Roldan,21.0,4.6
191,24,78,43.52,Kentau,-14.86,2.36
192,75,93,-16.5,La Paz,7.0,4.1
193,0,74,44.05,Tutrakan,1.0,2.1
194,0,87,37.95,Nea Smyrni,7.0,4.11
195,40,91,78.22,Longyearbyen,0.0,7.2
196,75,70,-17.51,Mahina,29.0,3.1
197,12,89,0.32,Kampala,15.04,1.31
198,75,100,6.15,Sabaneta,15.0,2.6
199,0,87,38.02,Galatsi,7.0,4.11
200,36,62,-1.78,Wote,19.42,3.51
201,0,51,45.44,Petrinja,16.0,7.7
202,92,100,-8.54,Atafu Village,28.79,3.46
203,0,88,5.67,Tema,26.0,2.6
204,12,92,40.59,Aparan,-8.97,0.96
205,75,70,47.23,Schellenberg,6.41,5.7
